local,remote,ratio
野村 e科技基金,野村高科技基金,0.5
野村e科技基金,野村高科技基金,0.5
野村中小基金,野村中小基金-累積類型,0.5
野村中小基金-累積類型,野村中小基金-累積類型,1.0
野村中國機會基金,野村中國機會基金,1.0
野村巴西證券投資信託基金,野村巴西基金,0.25
野村日本領先基金,野村日本領先基金-累積類型,0.6666666666666666
野村日本領先基金-累積型,野村日本領先基金-累積類型,1.0
野村日本領先基金-累積類型,野村日本領先基金-累積類型,1.0
野村台灣高股息基金,野村台灣高股息基金,1.0
野村台灣運籌基金,野村台灣運籌基金,1.0
野村四年階梯到期新興債-配息新臺幣計價,野村四年階梯到期新興市場債券基金季配類型新臺幣,0.7058823529411765
野村四年階梯到期新興債-累積人民幣計價,野村四年階梯到期新興市場債券基金累積類型人民幣,0.8235294117647058
野村四年階梯到期新興債-累積美元計價,野村四年階梯到期新興市場債券基金累積類型美元,0.8125
野村四年階梯到期新興債-累積新臺幣計價,野村四年階梯到期新興市場債券基金累積類型新臺幣,0.8125
野村平衡基金,野村平衡基金,1.0
野村全球不動產證券化基金-月配型新臺幣計價,野村全球不動產證券化基金月配型新臺幣計價,1.0
野村全球不動產證券化基金-累積型新臺幣計價,野村全球不動產證券化基金累積型新臺幣計價,1.0
野村全球生技醫療基金,野村全球生技醫療基金,1.0
野村全球金融收益基金-月配類型新臺幣計價,野村全球金融收益基金月配類型新臺幣,1.0
野村全球金融收益基金-累積類型新臺幣計價,野村全球金融收益基金累積類型新臺幣,1.0
野村全球品牌基金,野村全球品牌基金,1.0
野村全球美元投資級公司債基金-月配類型,野村全球金融收益基金月配類型美元,0.4
野村全球美元投資級公司債基金-累積型,野村環球高收益債基金-累積類型美元計價,0.375
野村全球氣候變遷基金,野村全球品牌基金,0.25
野村全球高股息基金-累積型新臺幣計價,野村全球高股息基金累積型新臺幣計價,1.0
野村全球短期收益基金-新台幣計價,野村全球短期收益基金-新臺幣計價,1.0
野村多元收益平衡基金-月配類型人民幣計價,野村多元收益平衡基金-月配類型人民幣計價,1.0
野村多元收益平衡基金-月配類型新臺幣計價,野村多元收益平衡基金-月配類型新臺幣計價,1.0
野村多元收益平衡基金-累積型新臺幣計價,野村多元收益平衡基金-累積類型新臺幣計價,1.0
野村多元收益平衡基金-累積類型新臺幣計價,野村多元收益平衡基金-累積類型新臺幣計價,1.0
野村成長基金,野村成長基金,1.0
野村亞太收益多重資產基金-月配類型人民幣計價,野村亞太收益多重資產基金-月配類型人民幣計價,1.0
野村亞太收益多重資產基金-月配類型新臺幣計價,野村亞太收益多重資產基金-月配類型新臺幣計價,1.0
野村亞太高股息基金-季配型新臺幣計價,野村亞太高股息基金季配型新臺幣計價,1.0
野村亞太高股息基金-累積型新臺幣計價,野村亞太高股息基金累積型新臺幣計價,1.0
野村亞太新興債券基金-配息類型新臺幣計價,野村亞太新興債券基金-月配類型新臺幣計價,0.8181818181818182
野村亞太新興債券基金-累積類型新臺幣計價,野村亞太新興債券基金-累積類型新臺幣計價,1.0
野村亞太複合高收益債基金-月配型新臺幣計價,野村亞太複合高收益債基金-月配型新臺幣計價,1.0
野村亞太複合高收益債基金-累積型新臺幣計價,野村亞太複合高收益債基金-累積型新臺幣計價,1.0
野村亞太複合高收益債基金-累積類型人民幣計價,野村亞太複合高收益債基金-累積類型人民幣計價,1.0
野村美利堅高收益債證券投資信託基金-配息型新臺幣計價,野村美利堅高收益債基金-月配類型新臺幣計價,0.5789473684210527
野村美利堅高收益債證券投資信託基金-累積型新臺幣計價,野村美利堅高收益債基金-累積類型新臺幣計價,0.6666666666666666
野村核心配置多重資產基金-S型新臺幣計價,野村核心配置多重資產基金-S類型新臺幣累積,0.8571428571428571
野村核心配置多重資產基金-S類型新臺幣計價,野村核心配置多重資產基金-S類型新臺幣累積,0.8571428571428571
野村核心配置多重資產基金-累積型新臺幣計價,野村核心配置多重資產基金-累積類型新臺幣計價,1.0
野村核心配置多重資產基金-累積類型新臺幣計價,野村核心配置多重資產基金-累積類型新臺幣計價,1.0
野村泰國基金,野村泰國基金,1.0
野村高科技基金,野村高科技基金,1.0
野村動態配置多重資產基金-S型新臺幣計價,野村動態配置多重資產基金-S類型新臺幣累積,0.8571428571428571
野村動態配置多重資產基金-S類型新臺幣計價,野村動態配置多重資產基金-S類型新臺幣累積,0.8571428571428571
野村動態配置多重資產基金-月配類型新臺幣計價,野村動態配置多重資產基金-月配類型新臺幣計價,1.0
野村動態配置多重資產基金-累積型新臺幣計價,野村動態配置多重資產基金-累積類型新臺幣計價,1.0
野村動態配置多重資產基金-累積類型新臺幣計價,野村動態配置多重資產基金-累積類型新臺幣計價,1.0
野村貨幣市場基金,野村貨幣市場基金,1.0
野村新馬基金,野村新馬基金,1.0
野村新興收益傘型之五年階梯到期新興債基金-季配人民幣,野村五年階梯到期新興市場債券基金(人民幣季配),0.7
野村新興收益傘型之五年階梯到期新興債基金-累積美元,野村五年階梯到期新興市場債券基金(美元累積),0.6842105263157895
野村新興收益傘型基金之中國境內新興債券基金-人民幣計價,野村中國境內新興債券基金(人民幣累積),0.6875
野村新興收益傘型基金之中國境內新興債券基金-累積型新臺幣計價,野村中國境內新興債券基金(新台幣累積),0.8
野村新興收益傘型基金之中國境內新興債券基金-累積類型新臺幣計?,野村中國境內新興債券基金(新台幣累積),0.8
野村新興收益傘型基金之邊境市場高收益主權債基金-月配類型新臺?,野村邊境市場高收益主權債基金(新台幣月配),0.8235294117647058
野村新興收益傘型基金之邊境市場高收益主權債基金-累積型新臺幣計價,野村邊境市場高收益主權債基金(新台幣累積),0.8823529411764706
野村新興收益傘型基金之邊境市場高收益主權債基金-累積類型新臺?,野村邊境市場高收益主權債基金(新台幣累積),0.8235294117647058
野村新興高收益債組合基金,野村新興高收益債組合基金-月配型,0.8
野村新興高收益債組合基金-S型,野村新興高收益債組合基金-月配型,0.7272727272727273
野村新興高收益債組合基金-S類型,野村新興高收益債組合基金-月配型,0.7272727272727273
野村新興高收益債組合基金-月配型,野村新興高收益債組合基金-月配型,1.0
野村新興高收益債組合基金-累積型,野村新興高收益債組合基金-累積型,1.0
野村新興傘型之大俄羅斯基金,野村新興傘型基金之大俄羅斯基金,1.0
野村新興傘型之中東非洲基金,野村新興傘型基金之大俄羅斯基金,0.2727272727272727
野村精選貨幣市場基金,野村精選貨幣市場基金,1.0
野村臺灣運籌基金,野村台灣運籌基金,1.0
野村歐洲中小成長基金-累積類型新臺幣計價,野村歐洲中小成長基金-累積類型新臺幣計價,1.0
野村歐洲高股息基金-季配類型,野村歐洲高股息基金季配型,1.0
野村歐洲高股息基金-累積類型,野村歐洲高股息基金累積型,1.0
野村積極成長基金,野村積極成長基金,1.0
野村優質基金-S類型新臺幣計價,野村優質基金-S類型新臺幣累積,0.75
野村優質基金-累積型新臺幣計價,野村優質基金-累積類型新臺幣計價,1.0
野村優質基金-累積類型新臺幣計價,野村優質基金-累積類型新臺幣計價,1.0
野村環球高收益債基金-S型新臺幣計價,野村環球高收益債基金-S類型新臺幣累積,0.8333333333333334
野村環球高收益債基金-S類型新臺幣計價,野村環球高收益債基金-S類型新臺幣累積,0.8333333333333334
野村環球高收益債基金-月配類型新臺幣計價,野村環球高收益債基金-月配類型新臺幣計價,1.0
野村環球高收益債基金-累積型新臺幣計價,野村環球高收益債基金-累積類型新臺幣計價,1.0
野村環球高收益債基金-累積類型新臺幣計價,野村環球高收益債基金-累積類型新臺幣計價,1.0
野村環球基金-S型新臺幣計價,野村環球基金-S類型新臺幣累積,0.75
野村環球基金-S類型新臺幣計價,野村環球基金-S類型新臺幣累積,0.75
野村環球基金-人民幣計價,野村環球基金-人民幣計價,1.0
野村環球基金-新臺幣計價,野村環球基金-累積類型新臺幣計價,0.7142857142857143
野村鴻利基金,野村鴻利基金,1.0
野村鴻揚貨幣市場基金,野村鴻揚貨幣市場基金,1.0
野村鴻運基金,野村鴻運基金,1.0
野村雙印傘型之印尼潛力基金,野村雙印傘型基金之印尼潛力基金,1.0
野村雙印傘型之印度潛力基金,野村雙印傘型基金之印度潛力基金,1.0
野村鑫平衡組合基金-S型,野村鑫平衡組合基金-累積類型,0.625
野村鑫平衡組合基金-S類型,野村鑫平衡組合基金-累積類型,0.625
野村鑫平衡組合基金-累積型,野村鑫平衡組合基金-累積類型,1.0
野村鑫平衡組合基金-累積類型,野村鑫平衡組合基金-累積類型,1.0
野村鑫全球債券組合基金-S型,野村鑫全球債券組合基金-累積類型,0.7
野村鑫全球債券組合基金-S類型,野村鑫全球債券組合基金-累積類型,0.7
野村鑫全球債券組合基金-累積型,野村鑫全球債券組合基金-累積類型,1.0
野村鑫全球債券組合基金-累積類型,野村鑫全球債券組合基金-累積類型,1.0
