local,2018/1/16,2018/2/9,2018/3/15,2018/4/17,2018/5/15,2018/6/15,2018/7/17,2018/8/15,2018/9/14,2018/10/16,2018/11/15,2018/12/14
野村全球氣候變遷基金,8.75,8.16,8.45,8.53,8.73,8.81,8.7,8.43,,,,
野村全球美元投資級公司債基金-月配類型,8.2407,8.0167,7.9205,,,,,,,,,
野村全球美元投資級公司債基金-累積型,11.1772,10.9017,10.7995,,,,,,,,,
野村新興傘型之中東非洲基金,9.32,9.12,9.38,9.29,9.18,9.12,9.25,9.49,,,,
野村新興收益傘型基金之中國境內新興債券基金-人民幣計價,,,,,,,10.0165,10.0524,9.9796,9.9672,9.9191,10.0426
野村新興收益傘型基金之中國境內新興債券基金-累積類型新臺幣計?,,,,,,,10.0165,9.9328,9.8869,9.8798,9.7995,9.9683
野村新興收益傘型基金之中國境內新興債券基金-累積型新臺幣計價,,,,,,,10.0165,9.9328,9.8869,9.8798,9.7995,9.9683
野村中國機會基金,15.2,14.02,15.23,14.04,14.85,15.04,14.05,12.87,12.47,11.86,11.9,11.69
野村中小基金,46.45,44.19,47.81,49.54,52.39,53.42,51.06,47.53,46.81,39.82,40.78,41.88
野村中小基金-累積類型,46.45,44.19,47.81,49.54,52.39,53.42,51.06,47.53,46.81,39.82,40.78,41.88
野村新興收益傘型之五年階梯到期新興債基金-季配人民幣,,,,,,,9.8175,9.8617,9.8008,9.7683,9.7505,9.8613
野村新興收益傘型之五年階梯到期新興債基金-累積美元,,,,,,,9.7952,9.8023,9.7674,9.8096,9.7739,9.851
野村亞太收益多重資產基金-月配類型人民幣計價,10.4046,9.9328,10.2157,9.8621,9.6573,9.4427,8.9859,8.7995,8.7114,8.367,8.263,8.2087
野村亞太收益多重資產基金-月配類型新臺幣計價,10.2615,9.7518,9.98,9.6692,9.6052,9.4154,9.1073,8.9857,8.8707,8.5621,8.4334,8.366
野村亞太新興債券基金-配息類型新臺幣計價,10.1777,10.0803,9.9704,9.919,9.814,9.6452,9.6078,9.5995,9.4512,9.379,9.2073,9.2459
野村亞太新興債券基金-累積類型新臺幣計價,10.3516,10.296,10.2275,10.2199,10.1564,10.0264,10.0325,10.0689,9.9583,9.9276,9.791,9.8781
野村亞太複合高收益債基金-月配型新臺幣計價,9.4123,9.2413,9.1471,9.0904,8.8858,8.7278,8.5085,8.6008,8.4704,8.448,8.235,8.2719
野村亞太複合高收益債基金-累積型新臺幣計價,13.8217,13.6422,13.5713,13.5561,13.3205,8.7278,12.8924,13.1025,12.9748,13.0116,12.755,12.8843
