ID,QUESTION_INDEX,ANS_ORDER,ANS_NOTE
124,A01,3,
124,A02,4,
124,A04,4,
124,A05,2,2
124,A08,1,
124,A08,3,
124,A08,4,
124,A08,5,
124,A09,1,
124,A09,3,
124,A10,4,
124,A11,3,
124,A12,1,
124,A14,4,
124,B01,4,
124,B02,1,
124,B02,2,
124,B02,3,
124,B02,4,
124,B02,5,
124,B03,1,
124,B03,2,
124,B03,3,
124,B03,4,
124,B03,5,
124,B04,4,
124,B05,4,
124,B06,3,
124,B07,4,
178,A01,13,美國
178,A02,4,
178,A04,4,
178,A05,2,0
178,A08,1,
178,A08,3,
178,A08,5,
178,A09,1,
178,A10,3,
178,A11,2,
178,A12,1,
178,A14,4,
178,B01,4,
178,B02,1,
178,B02,2,
178,B02,3,
178,B02,4,
178,B03,2,
178,B03,4,
178,B03,5,
178,B04,3,
178,B05,4,
178,B06,3,
178,B07,3,
404,A01,4,
404,A02,1,
404,A04,3,
404,A05,2,2
404,A08,1,
404,A08,3,
404,A08,4,
404,A08,5,
404,A09,1,
404,A09,3,
404,A10,2,
404,A11,1,
404,A12,1,
404,A14,4,
404,B01,4,
404,B02,1,
404,B02,2,
404,B02,3,
404,B02,4,
404,B02,5,
404,B03,4,
404,B04,4,
404,B05,4,
404,B06,4,
404,B07,4,
684,A01,3,
684,A02,2,
684,A04,4,
684,A05,2,2
684,A08,1,
684,A08,3,
684,A08,4,
684,A08,5,
684,A09,1,
684,A10,3,
684,A11,3,
684,A12,2,
684,A14,4,
684,B01,3,
684,B02,1,
684,B02,2,
684,B02,3,
684,B02,4,
684,B02,5,
684,B03,3,
684,B03,4,
684,B03,5,
684,B04,5,
684,B05,4,
684,B06,3,
684,B07,5,
1649,A01,8,
1649,A02,3,
1649,A04,2,
1649,A05,2,3
1649,A08,5,
1649,A09,1,
1649,A09,2,
1649,A09,3,
1649,A10,4,
1649,A11,3,
1649,A12,1,
1649,A14,4,
1649,B01,2,
1649,B02,4,
1649,B02,5,
1649,B03,4,
1649,B03,5,
1649,B04,4,
1649,B05,4,
1649,B06,5,
1649,B07,4,
2304,A01,12,
2304,A02,4,
2304,A04,2,
2304,A05,2,3
2304,A08,1,
2304,A08,3,
2304,A08,5,
2304,A09,1,
2304,A09,3,
2304,A09,8,
2304,A10,4,
2304,A11,3,
2304,A12,2,
2304,A14,4,
2304,B01,3,
2304,B02,1,
2304,B02,3,
2304,B02,4,
2304,B03,3,
2304,B03,4,
2304,B04,5,
2304,B05,4,
2304,B06,4,
2304,B07,5,
2769,A01,4,
2769,A02,5,
2769,A04,5,
2769,A05,2,2
2769,A08,1,
2769,A08,3,
2769,A08,4,
2769,A08,5,
2769,A09,1,
2769,A09,3,
2769,A10,4,
2769,A11,3,
2769,A12,2,
2769,A14,4,
2769,B01,4,
2769,B02,1,
2769,B02,4,
2769,B03,4,
2769,B04,2,
2769,B05,4,
2769,B06,4,
2769,B07,4,
4029,A01,8,
4029,A02,6,
4029,A04,2,
4029,A05,3,
4029,A08,1,
4029,A09,3,
4029,A10,4,
4029,A11,2,
4029,A12,3,
4029,A14,1,
4029,B01,2,
4029,B02,1,
4029,B02,3,
4029,B02,4,
4029,B02,5,
4029,B03,4,
4029,B03,5,
4029,B04,5,
4029,B05,4,
4029,B06,1,
4029,B07,3,
4101,A01,5,
4101,A02,1,
4101,A04,3,
4101,A05,2,1
4101,A08,1,
4101,A09,1,
4101,A09,3,
4101,A10,3,
4101,A11,2,
4101,A12,2,
4101,A14,4,
4101,B01,4,
4101,B02,1,
4101,B02,2,
4101,B02,3,
4101,B02,4,
4101,B02,5,
4101,B03,1,
4101,B03,2,
4101,B03,3,
4101,B03,4,
4101,B03,5,
4101,B04,5,
4101,B05,4,
4101,B06,2,
4101,B07,4,
4285,A01,4,
4285,A02,1,
4285,A04,3,
4285,A05,3,
4285,A08,5,
4285,A09,1,
4285,A10,2,
4285,A11,1,
4285,A12,1,
4285,A14,4,
4285,B01,4,
4285,B02,1,
4285,B02,4,
4285,B03,4,
4285,B04,3,
4285,B05,3,
4285,B06,3,
4285,B07,3,
4757,A01,3,
4757,A02,1,
4757,A04,4,
4757,A05,2,2
4757,A08,1,
4757,A08,3,
4757,A08,5,
4757,A09,1,
4757,A09,3,
4757,A10,2,
4757,A11,1,
4757,A12,1,
4757,A14,4,
4757,B01,4,
4757,B02,1,
4757,B02,2,
4757,B02,3,
4757,B02,4,
4757,B02,5,
4757,B03,2,
4757,B03,4,
4757,B03,5,
4757,B04,5,
4757,B05,3,
4757,B06,4,
4757,B07,2,
5130,A01,5,
5130,A02,1,
5130,A04,3,
5130,A05,1,0
5130,A08,1,
5130,A08,5,
5130,A09,1,
5130,A10,2,
5130,A11,2,
5130,A12,1,
5130,A14,4,
5130,B01,3,
5130,B02,1,
5130,B02,3,
5130,B02,4,
5130,B03,2,
5130,B03,4,
5130,B04,5,
5130,B05,4,
5130,B06,3,
5130,B07,3,
5847,A01,2,
5847,A01,2,
5847,A02,4,
5847,A02,2,
5847,A04,4,
5847,A04,4,
5847,A05,2,2
5847,A05,2,2
5847,A08,3,
5847,A08,4,
5847,A08,5,
5847,A08,3,
5847,A08,4,
5847,A08,5,
5847,A09,1,
5847,A09,3,
5847,A09,1,
5847,A09,3,
5847,A10,3,
5847,A10,3,
5847,A11,3,
5847,A11,3,
5847,A12,1,
5847,A12,1,
5847,A14,4,
5847,A14,4,
5847,B01,5,
5847,B01,5,
5847,B02,1,
5847,B02,4,
5847,B02,5,
5847,B02,1,
5847,B02,4,
5847,B02,5,
5847,B03,4,
5847,B03,5,
5847,B03,4,
5847,B03,5,
5847,B04,3,
5847,B04,2,
5847,B05,4,
5847,B05,3,
5847,B06,5,
5847,B06,4,
5847,B07,4,
5847,B07,3,
6622,A01,2,
6622,A02,1,
6622,A04,4,
6622,A05,2,2
6622,A08,1,
6622,A08,5,
6622,A09,1,
6622,A09,3,
6622,A10,5,
6622,A11,3,
6622,A12,1,
6622,A14,4,
6622,B01,4,
6622,B02,1,
6622,B02,3,
6622,B02,4,
6622,B03,3,
6622,B03,4,
6622,B04,5,
6622,B05,4,
6622,B06,3,
6622,B07,3,
6894,A01,8,
6894,A02,7,無
6894,A04,4,
6894,A05,3,
6894,A08,1,
6894,A09,2,
6894,A10,3,
6894,A11,2,
6894,A12,2,
6894,A14,4,
6894,B01,2,
6894,B02,1,
6894,B02,2,
6894,B02,3,
6894,B02,4,
6894,B02,5,
6894,B03,2,
6894,B03,3,
6894,B03,4,
6894,B03,5,
6894,B04,5,
6894,B05,3,
6894,B06,3,
6894,B07,5,
7648,A01,3,
7648,A02,2,
7648,A04,4,
7648,A05,2,3
7648,A08,1,
7648,A08,3,
7648,A08,4,
7648,A08,5,
7648,A09,1,
7648,A09,3,
7648,A10,3,
7648,A11,2,
7648,A12,1,
7648,A14,4,
7648,B01,4,
7648,B02,1,
7648,B02,2,
7648,B02,3,
7648,B02,4,
7648,B02,5,
7648,B03,4,
7648,B03,5,
7648,B04,5,
7648,B05,4,
7648,B06,5,
7648,B07,5,
7756,A01,13,korea
7756,A02,1,
7756,A04,3,
7756,A05,2,2
7756,A08,1,
7756,A08,3,
7756,A08,5,
7756,A09,1,
7756,A09,2,
7756,A09,3,
7756,A10,3,
7756,A11,2,
7756,A12,1,
7756,A14,4,
7756,B01,5,
7756,B02,1,
7756,B02,3,
7756,B02,4,
7756,B02,5,
7756,B03,2,
7756,B03,4,
7756,B03,5,
7756,B04,5,
7756,B05,4,
7756,B06,4,
7756,B07,3,
8679,A01,4,
8679,A02,4,
8679,A04,3,
8679,A05,2,2
8679,A08,1,
8679,A08,3,
8679,A09,1,
8679,A09,3,
8679,A10,3,
8679,A11,2,
8679,A12,1,
8679,A14,4,
8679,B01,4,
8679,B02,1,
8679,B02,2,
8679,B02,3,
8679,B02,4,
8679,B03,1,
8679,B03,4,
