label_headers,職業-軍警公教,職業-資訊業,職業-金融業,職業-製造業,職業-服務業,職業-醫療服務業,職業-學生,職業-退休人士,職業-餐飲旅館/旅遊業,職業-量販店,職業-政治性職務,職業-營造/不動產業,職業-進出口貿易,職業-專業服務,職業-民間匯兌業/虛擬貨幣產業,職業-武器設備業,職業-非營利機構,職業-高單價物品之買賣或拍賣,職業-當鋪/銀樓,職業-學齡前,職業-家管,職業-待業中,職業-自營商,職業-其他,職務-基層職員,職務-專業人員,職務-技術人員,職務-中階主管,職務-高階主管,職務-企業負責人,職務-其他,學歷-國中(含以下),學歷-高中,學歷-專科,學歷-大學,學歷-碩士/博士 ,婚姻狀況-未婚,婚姻狀況-已婚有子女,婚姻狀況-已婚無子女,投資目的-閒置資金運用,投資目的-節稅,投資目的-儲備退休金,投資目的-子女教育基金,投資目的-追求長期投資報酬,投資目的-資金調度,投資目的-其他,投資基金來源-薪資收入,投資基金來源-退休金,投資基金來源-投資收益,投資基金來源-繼承/贈與,投資基金來源-借貸,投資基金來源-出售資產,投資基金來源-租賃收入,投資基金來源-自營收入,投資基金來源-其他,家庭年收入-50 萬元以下,家庭年收入-50 萬元~100 萬元,家庭年收入-100 萬元~300 萬元,家庭年收入-300 萬元~500 萬元,家庭年收入-500 萬元以上,家庭年支出-50 萬元以下,家庭年支出-50 萬元~100 萬元,家庭年支出-100 萬元~300 萬元,家庭年支出-300 萬元~500 萬元,家庭年支出-500 萬元以上,預計(單筆)投資金額-100 萬元以下,預計(單筆)投資金額-100 萬元~300 萬元,預計(單筆)投資金額-300 萬元以上,特殊身分客戶-70 歲以上,特殊身分客戶-國中畢業以下,特殊身分客戶-領有全民健康保險重大傷病證明,年齡-75 歲以上/20歲以下,年齡-66~75歲,年齡-56~65歲,年齡-46~55歲,年齡-20~45歲,曾經持有投資產品-現金、存款、定存、貨幣型基金與保本型基金,曾經持有投資產品-債券、投資等級之債券基金,曾經持有投資產品-外幣存款、非投資等級之債券基金、平衡型基金、新興市場債券基金,曾經持有投資產品-股票、全球股票基金、歐美成熟國家股票基金、投資型保單,曾經持有投資產品-新興市場股票基金、單一新興國家股票基金、衍生性商品,基金投資目的偏好-現金、存款、定存、貨幣型基金與保本型基金,基金投資目的偏好-債券、投資等級之債券基金,基金投資目的偏好-外幣存款、非投資等級之債券基金、平衡型基金、新興市場債券基金,基金投資目的偏好-股票、全球股票基金、歐美成熟國家股票基金、投資型保單,基金投資目的偏好-新興市場股票基金、單一新興國家股票基金、衍生性商品,備用金相當家庭開銷-無備用金,備用金相當家庭開銷-3 個月以下,備用金相當家庭開銷-介於3~6 個月,備用金相當家庭開銷-介於6~9 個月,備用金相當家庭開銷-超過9 個月,基金投資方式-不曾投資過,基金投資方式-只買過貨幣型基金,基金投資方式-定時定額,基金投資方式-單筆(不含貨幣型基金)和定時定額兩者都有,基金投資方式-單筆或私募基金,期望投資報酬率-1%~2%,期望投資報酬率-3%~5%,期望投資報酬率-6%~8%,期望投資報酬率-9%~12%,期望投資報酬率-12%以上,最大投資損失-1%~2%,最大投資損失-3%~5%,最大投資損失-6%~8%,最大投資損失-9%~12%,最大投資損失-12%以上
職業-軍警公教,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2598086124401913,-0.3062200956937799,-0.09569377990430622,0.18995215311004782,-0.03827751196172249,0.0,-0.009569377990430622,0.0,-0.014354066985645932,0.09952153110047848,-0.18277511961722487,0.09760765550239237,0.24210526315789477,0.054545454545454564,-0.07655502392344497,0.27559808612440195,-0.004784688995215311,0.15167464114832535,0.056937799043062204,-0.4124401913875598,-0.062200956937799035,-0.004784688995215311,0.4933014354066985,-0.014354066985645932,-0.4545454545454545,-0.03349282296650718,-0.009569377990430622,0.0,0.04258373205741628,-0.019138755980861243,-0.004784688995215311,0.07129186602870813,0.45598086124401904,-0.4698564593301436,-0.05263157894736842,-0.004784688995215311,0.06507177033492823,0.12153110047846888,-0.18660287081339716,0.0,0.0,0.22488038277511957,-0.18660287081339716,-0.03827751196172249,-0.009569377990430622,0.0,0.1952153110047847,-0.004784688995215311,-0.009569377990430622,-0.08660287081339715,0.01674641148325362,0.08421052631578951,0.6569377990430622,-0.009569377990430622,0.06172248803827752,-0.04880382775119613,-0.6602870813397129,0.1,0.09043062200956939,0.08086124401913876,0.25119617224880386,-0.5224880382775121,0.1,0.337799043062201,0.1416267942583732,-0.043540669856459324,-0.5358851674641149,0.0,0.0,0.5507177033492823,-0.5267942583732058,-0.023923444976076555,0.0,0.6473684210526316,-0.03444976076555023,-0.3014354066985646,-0.3114832535885167,0.5760765550239234,0.20430622009569377,-0.10574162679425839,-0.2583732057416268,-0.4162679425837321
職業-資訊業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1867816091954023,0.3563218390804597,-0.14655172413793102,-0.2413793103448276,-0.09482758620689656,-0.05172413793103448,-0.008620689655172414,0.0,0.3160919540229885,-0.14655172413793102,-0.02011494252873558,-0.14942528735632188,0.10057471264367812,0.1925287356321838,-0.10344827586206896,0.22126436781609193,0.0,-0.09482758620689656,0.29022988505747127,-0.3735632183908046,-0.04310344827586207,0.0,0.5689655172413792,-0.008620689655172414,-0.3793103448275862,-0.04310344827586207,-0.017241379310344827,-0.008620689655172414,-0.04310344827586207,-0.06896551724137931,0.0,0.29885057471264365,0.07471264367816088,-0.23563218390804602,-0.11206896551724138,-0.02586206896551724,0.36494252873563215,-0.456896551724138,0.11781609195402296,-0.02586206896551724,0.0,0.22413793103448276,-0.1896551724137931,-0.03448275862068965,-0.008620689655172414,0.0,0.0,0.0,0.0,-0.12931034482758622,0.3390804597701149,-0.20977011494252878,0.632183908045977,0.0,0.29022988505747127,-0.21551724137931036,-0.7068965517241379,0.0,0.3160919540229885,0.3160919540229885,0.16091954022988503,-0.7931034482758621,-0.008620689655172414,0.2729885057471264,0.4080459770114942,-0.15517241379310345,-0.5172413793103449,0.0,0.3333333333333333,-0.028735632183908066,-0.27011494252873564,-0.03448275862068965,-0.008620689655172414,0.632183908045977,0.10919540229885052,-0.3534482758620689,-0.3793103448275862,-0.02586206896551724,0.5545977011494252,0.11781609195402296,-0.21551724137931036,-0.4310344827586207
職業-金融業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04651162790697683,0.08333333333333331,-0.005813953488372093,-0.2558139534883721,0.1375968992248062,0.0,-0.005813953488372093,0.0,-0.02325581395348837,0.1705426356589147,0.023255813953488302,-0.17054263565891473,-0.048449612403100806,0.12596899224806202,-0.05813953488372092,0.32558139534883723,0.0,0.06782945736434108,-0.06976744186046513,-0.4031007751937985,0.07945736434108526,0.0,0.3798449612403102,-0.005813953488372093,-0.28682170542635654,-0.034883720930232565,-0.005813953488372093,0.0,-0.034883720930232565,-0.011627906976744186,0.0,-0.034883720930232565,0.46317829457364335,-0.30620155038759694,-0.10465116279069768,-0.017441860465116282,0.08333333333333331,-0.1724806201550388,0.10077519379844962,-0.011627906976744186,0.0,0.2151162790697675,-0.1511627906976744,-0.06395348837209303,0.0,0.0,0.0,0.0,-0.005813953488372093,0.25775193798449614,-0.22286821705426366,-0.029069767441860517,0.47093023255813954,0.16085271317829455,0.15503875968992248,-0.02519379844961242,-0.7616279069767442,0.0,0.3217054263565891,0.3275193798449612,-0.0426356589147287,-0.6065891472868218,-0.005813953488372093,0.2693798449612403,0.42248062015503873,-0.10465116279069768,-0.5813953488372093,-0.005813953488372093,0.0,0.6065891472868218,-0.560077519379845,-0.040697674418604654,0.0,0.6143410852713178,0.11240310077519378,-0.3081395348837209,-0.4186046511627907,0.29844961240310075,0.22286821705426355,0.1705426356589147,-0.21511627906976746,-0.4767441860465117
職業-製造業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0976027397260274,-0.05993150684931506,0.10273972602739725,-0.04452054794520549,-0.06506849315068493,-0.0273972602739726,-0.003424657534246575,0.05565068493150685,0.0779109589041096,-0.2285958904109589,0.09246575342465752,0.0025684931506849418,0.2285958904109589,-0.3047945205479452,-0.051369863013698634,0.11643835616438356,0.0,0.1892123287671233,-0.0547945205479452,-0.16866438356164382,-0.07876712328767123,-0.00684931506849315,0.5993150684931507,-0.017123287671232876,-0.4794520547945205,-0.02054794520547945,-0.003424657534246575,0.0,-0.051369863013698634,-0.0273972602739726,-0.003424657534246575,-0.002568493150684928,0.3655821917808219,-0.297945205479452,-0.051369863013698634,-0.0136986301369863,0.07106164383561642,0.01712328767123289,-0.08133561643835616,-0.003424657534246575,-0.003424657534246575,0.1678082191780822,-0.13356164383561644,-0.030821917808219176,0.0,0.0488013698630137,-0.00684931506849315,0.0,-0.003424657534246575,0.035958904109589046,-0.2988013698630137,0.2662671232876712,0.7714041095890412,0.052226027397260275,-0.02054794520547945,-0.20034246575342468,-0.6027397260273972,0.3125,-0.010273972602739724,0.14982876712328766,0.0,-0.452054794520548,0.1840753424657534,0.2962328767123288,0.10787671232876711,-0.1267123287671233,-0.461472602739726,0.0,-0.003424657534246575,0.4571917808219178,-0.44349315068493156,-0.010273972602739724,0.059075342465753425,0.3202054794520548,0.08047945205479451,-0.2688356164383562,-0.1909246575342466,0.4203767123287671,0.3347602739726028,-0.10787671232876711,-0.3047945205479452,-0.3424657534246575
職業-服務業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2851405622489959,-0.05542168674698794,-0.09236947791164657,-0.11807228915662651,-0.07630522088353414,0.006425702811244993,0.05060240963855423,-0.01606425702811245,0.027309236947791166,-0.07951807228915667,0.14216867469879518,-0.07389558232931726,-0.08915662650602407,0.03293172690763052,-0.0016064257028112344,0.19678714859437746,0.0,0.09156626506024097,0.13574297188755022,-0.3397590361445783,-0.08433734939759037,0.0,0.45060240963855425,-0.008032128514056224,-0.23373493975903614,-0.03614457831325301,-0.008032128514056224,-0.004016064257028112,-0.04417670682730924,-0.11244979919678716,-0.004016064257028112,0.2594377510040161,0.08273092369477913,-0.2417670682730924,-0.07630522088353414,-0.024096385542168683,0.22088353413654616,-0.07228915662650603,-0.13253012048192772,-0.012048192771084338,-0.004016064257028112,0.07550200803212859,-0.03534136546184738,-0.04016064257028112,-0.004016064257028112,-0.008032128514056224,0.06666666666666668,0.0,-0.02008032128514056,-0.0497991967871486,0.2024096385542168,-0.1325301204819277,0.6224899598393574,0.0,0.163855421686747,-0.1518072289156627,-0.6345381526104418,0.3333333333333333,0.0385542168674699,0.10522088353413656,-0.016867469879518066,-0.46024096385542174,0.054618473895582345,0.406425702811245,0.13092369477911647,-0.13654618473895586,-0.455421686746988,0.0,0.0,0.2730923694779116,-0.2409638554216868,-0.0321285140562249,-0.004016064257028112,0.6650602409638554,-0.09959839357429717,-0.18795180722891566,-0.3734939759036144,0.21847389558232932,0.4634538152610441,-0.14216867469879518,-0.15421686746987948,-0.3855421686746988
職業-醫療服務業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2872670807453416,-0.33540372670807456,0.05590062111801243,0.08850931677018634,0.03416149068322981,-0.11956521739130435,-0.010869565217391304,0.0,0.09937888198757763,-0.17391304347826084,0.017080745341614856,0.05745341614906835,0.15683229813664595,-0.203416149068323,-0.10869565217391304,0.14440993788819875,0.0,0.3416149068322981,0.11024844720496893,-0.5093167701863355,-0.08695652173913042,0.0,0.7173913043478262,0.0,-0.5543478260869565,-0.021739130434782608,0.0,-0.010869565217391304,-0.043478260869565216,-0.07608695652173914,-0.010869565217391304,0.07763975155279502,0.4425465838509317,-0.28105590062111807,-0.15217391304347827,-0.08695652173913042,0.23447204968944096,0.059006211180124224,-0.22826086956521735,-0.03260869565217391,-0.03260869565217391,0.248447204968944,-0.09627329192546585,-0.15217391304347827,-0.010869565217391304,0.0,-0.010869565217391304,0.0,-0.021739130434782608,-0.031055900621117988,-0.062111801242235976,0.11490683229813659,0.20962732919254656,0.13198757763975155,0.14285714285714285,0.09006211180124221,-0.5745341614906831,0.5714285714285714,-0.010869565217391304,0.12111801242236024,0.013975155279503104,-0.6956521739130435,0.2857142857142857,0.08850931677018634,0.38664596273291924,-0.11956521739130435,-0.6413043478260869,0.0,0.14285714285714285,0.35559006211180133,-0.4549689440993789,-0.043478260869565216,0.13198757763975155,0.6925465838509317,-0.11956521739130435,-0.32608695652173914,-0.37888198757763975,0.6599378881987578,0.11024844720496893,0.06677018633540371,-0.2826086956521739,-0.5543478260869565
職業-學生,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14925373134328354,-0.02985074626865672,-0.02985074626865672,0.0,0.0,0.0,0.20895522388059706,0.29104477611940305,-0.13432835820895522,-0.02985074626865672,0.007462686567164201,-0.13432835820895522,-0.21641791044776115,0.0,0.0,-0.2388059701492537,0.0,0.0,0.15174129353233828,0.191542288557214,-0.08955223880597014,-0.01492537313432836,-0.1044776119402985,0.0,-0.08457711442786064,0.11194029850746268,-0.01492537313432836,0.0,-0.02985074626865672,-0.02985074626865672,0.15174129353233828,0.18407960199004977,0.017412935323383116,-0.06716417910447758,-0.1044776119402985,-0.02985074626865672,0.00497512437810943,0.022388059701492602,-0.027363184079602004,0.0,0.0,0.26865671641791045,-0.22388059701492535,-0.04477611940298507,0.0,-0.1044776119402985,-0.02985074626865672,0.33830845771144274,0.0,0.0,0.0,-0.33830845771144286,0.4552238805970149,0.2885572139303482,-0.02985074626865672,-0.07213930348258704,-0.6417910447761194,0.0,0.16666666666666666,0.4552238805970149,0.12437810945273634,-0.746268656716418,-0.02985074626865672,0.33582089552238803,0.2288557213930348,-0.04228855721393032,-0.4925373134328358,-0.01492537313432836,0.0,0.5373134328358209,-0.4925373134328358,-0.02985074626865672,0.0,0.2736318407960199,0.35074626865671643,-0.20646766169154232,-0.41791044776119396,-0.01492537313432836,0.21393034825870647,0.24378109452736318,-0.027363184079602004,-0.41542288557213936
職業-退休人士,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024525043177892933,0.07046632124352334,-0.05181347150259067,-0.0162348877374784,-0.031088082901554407,-0.015544041450777204,0.01968911917098448,0.16373056994818655,-0.0013816925734024266,-0.0784110535405872,-0.051468048359240015,-0.03246977547495683,-0.005872193436960257,0.02867012089810017,-0.02590673575129533,0.07495682210708118,-0.0051813471502590676,0.3837651122625216,-0.015544041450777204,-0.38549222797927457,-0.04732297063903279,-0.010362694300518135,-0.010362694300518135,0.6490500863557859,-0.45146804835924004,-0.07253886010362694,-0.0051813471502590676,-0.031088082901554407,-0.05250431778929188,-0.02590673575129533,0.0,0.12677029360967185,0.3506044905008635,-0.37892918825561306,-0.08290155440414508,-0.015544041450777204,0.3195164075993091,-0.1640759930915372,-0.15025906735751296,-0.0051813471502590676,0.0,0.29084628670120893,-0.20276338514680484,-0.08808290155440414,0.3170984455958549,-0.0051813471502590676,0.035578583765112276,0.1229706390328152,0.21278065630397236,-0.27219343696027637,-0.03765112262521589,-0.02590673575129533,0.4303972366148532,0.12815198618307427,-0.03626943005181347,0.15198618307426595,-0.67426597582038,0.26666666666666666,0.19481865284974095,0.22003454231433506,0.02314335060449052,-0.7046632124352331,0.0,0.3896373056994819,0.10604490500863559,0.12158894645941279,-0.6172711571675302,0.0,0.0,0.42245250431778925,-0.45803108808290155,0.035578583765112276,-0.0051813471502590676,0.14818652849740935,0.4276338514680484,-0.22867012089810015,-0.34196891191709844,0.19481865284974095,0.2504317789291882,0.23937823834196895,-0.21312607944732295,-0.4715025906735752
職業-餐飲旅館/旅遊業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2727272727272727,-0.18181818181818185,-0.09090909090909093,-0.09090909090909093,-0.09090909090909093,-0.09090909090909093,-0.18181818181818185,0.0,-0.09090909090909093,-0.3636363636363637,-0.4545454545454545,-0.09090909090909093,-0.3636363636363637,-0.2727272727272727,-0.09090909090909093,-0.09090909090909093,0.0,-0.09090909090909093,0.0,-0.6363636363636364,-0.18181818181818185,0.0,-0.3636363636363637,-0.09090909090909093,-0.3636363636363637,-0.18181818181818185,0.0,0.0,0.0,0.0,0.0,-0.18181818181818185,-0.7272727272727273,-0.09090909090909093,0.0,0.0,-0.8181818181818182,-0.18181818181818185,0.0,0.0,0.0,-0.9090909090909092,0.0,-0.09090909090909093,0.0,0.0,0.0,0.0,0.0,-0.09090909090909093,-0.2727272727272727,-0.6363636363636364,-0.09090909090909093,0.0,0.0,0.0,-0.9090909090909092,0.0,0.0,-0.09090909090909093,-0.09090909090909093,-0.8181818181818182,0.0,-0.09090909090909093,-0.2727272727272727,-0.09090909090909093,-0.5454545454545454,0.0,0.0,-0.4545454545454545,-0.4545454545454545,-0.09090909090909093,0.0,0.0,-0.09090909090909093,-0.4545454545454545,-0.4545454545454545,0.0,0.0,-0.2727272727272727,-0.3636363636363637,-0.3636363636363637
職業-量販店,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,-0.6666666666666666,0.0,0.0,-0.6666666666666666,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.6666666666666666,-0.3333333333333333,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.6666666666666666,0.0,-0.3333333333333333,0.0,-0.6666666666666666,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.6666666666666666,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.3333333333333333,-0.6666666666666666,0.0,0.0
