Date,Open,High,Low,Close,Adj Close,Volume
2016-05-01,null,null,null,null,null,null
2016-06-01,25.389999,26.000000,25.299999,25.790001,22.750170,259800
2016-07-01,25.650000,26.590000,25.650000,26.299999,23.285244,67700
2016-08-01,26.150000,26.650000,26.049999,26.490000,23.539267,66000
2016-09-01,26.360001,26.650000,26.000000,26.650000,23.765476,85500
2016-10-01,26.370001,26.629999,26.240000,26.340000,23.489033,121000
2016-11-01,26.190001,26.320000,25.049999,25.400000,22.730099,302400
2016-12-01,25.309999,26.150000,25.230000,25.879999,23.241697,807600
2017-01-01,25.940001,27.400000,25.730000,26.250000,23.747568,533800
2017-02-01,26.110001,26.440001,25.959999,26.350000,23.838036,531800
2017-03-01,26.299999,26.389999,25.799999,26.200001,23.787518,285100
2017-04-01,26.040001,26.629999,26.010000,26.469999,24.118692,105200
2017-05-01,26.420000,26.820000,26.270000,26.660000,24.369019,81000
2017-06-01,26.600000,26.870001,26.459999,26.620001,24.416395,82900
2017-07-01,26.549999,26.760000,26.200001,26.629999,24.509228,163300
2017-08-01,26.570000,26.940001,26.370001,26.770000,24.722593,220400
2017-09-01,26.639999,26.990000,26.490000,26.820000,24.853693,180300
2017-10-01,26.790001,27.040001,26.549999,26.719999,24.845490,423700
2017-11-01,26.700001,27.010000,26.299999,26.610001,24.824656,594000
2017-12-01,26.590000,26.750000,26.230000,26.580000,24.881407,712900
2018-01-01,26.629999,26.700001,26.250000,26.360001,24.926720,849300
2018-02-01,26.299999,26.309999,25.549999,25.889999,24.482273,964600
2018-03-01,25.760000,26.170000,25.510000,25.680000,24.355759,292200
2018-04-01,25.719999,25.930000,25.450001,25.549999,24.298159,245500
2018-05-01,25.450001,25.750000,25.340000,25.520000,24.338814,498000
2018-06-01,25.450001,25.590000,25.260000,25.309999,24.205799,513600
2018-07-01,25.299999,25.670000,25.219999,25.559999,24.513094,310300
2018-08-01,25.540001,25.850000,25.379999,25.650000,24.660789,691300
2018-09-01,25.459999,25.680000,25.430000,25.549999,24.651445,268100
2018-10-01,25.600000,25.600000,25.010000,25.059999,24.264767,738400
2018-11-01,24.910000,25.230000,24.750000,24.900000,24.196974,136600
2018-12-01,24.760000,25.129999,24.340000,24.690001,24.081310,403800
2019-01-01,24.690001,25.540001,24.530001,25.530001,25.120968,331800
2019-02-01,25.309999,25.760000,25.240000,25.600000,25.189848,407400
2019-03-01,25.530001,26.040001,25.490000,26.020000,25.696726,1078100
2019-04-01,25.950001,26.230000,25.900000,26.209999,25.980776,582300
2019-05-01,26.110001,26.110001,25.790001,25.860001,25.730749,233600
2019-05-16,25.860001,25.950001,25.860001,25.930099,25.930099,32983
