Date,Open,High,Low,Close,Adj Close,Volume
2016-09-01,50.279999,50.279999,50.099998,50.099998,44.109474,1200
2016-10-01,50.099998,51.340000,50.099998,50.840000,44.760990,498300
2016-11-01,50.490002,50.490002,49.799999,49.799999,44.090111,3000
2016-12-01,49.799999,50.689999,49.799999,49.799999,44.285675,700
2017-01-01,50.480000,50.980000,50.480000,50.639999,45.220333,10500
2017-02-01,50.810001,52.119999,50.662998,51.240002,45.946285,23300
2017-03-01,51.380001,51.410000,50.325001,51.040001,45.955841,19200
2017-04-01,50.993999,51.340000,50.993999,51.340000,46.425259,15600
2017-05-01,51.369999,51.630001,51.110001,51.580002,46.828743,38900
2017-06-01,51.700001,51.750000,51.220001,51.408001,46.860474,18000
2017-07-01,51.408001,51.900002,51.245998,51.779999,47.394806,30800
2017-08-01,51.820000,51.930000,51.349998,51.700001,47.514763,39200
2017-09-01,51.779999,51.840000,51.599998,51.750000,47.755283,130400
2017-10-01,51.759998,51.990002,51.603001,51.630001,47.821667,93200
2017-11-01,51.688000,51.779999,50.799999,51.305000,47.704288,255900
2017-12-01,51.270000,51.400002,49.799999,51.270000,47.869106,995300
2018-01-01,51.220001,52.799999,51.160000,51.270000,48.037918,754500
2018-02-01,51.199001,51.220001,50.160000,50.380001,47.348957,198400
2018-03-01,50.400002,50.509998,49.720001,49.970001,47.135262,339900
2018-04-01,49.900002,50.609001,49.787998,49.869999,47.221760,201500
2018-05-01,49.820000,49.990002,49.570000,49.570000,47.153946,217700
2018-06-01,49.730000,50.070000,49.299999,49.500000,47.276958,381100
2018-07-01,49.450001,49.990002,49.394001,49.785000,47.742081,603300
2018-08-01,49.900002,50.330002,49.709999,49.984001,48.122559,281900
2018-09-01,50.000000,50.049999,49.630001,49.740002,48.084362,300200
2018-10-01,49.775002,49.979000,48.785000,48.810001,47.381992,848000
2018-11-01,48.860001,49.349998,48.160000,48.279999,47.071987,738600
2018-12-01,48.576000,48.863998,46.939999,47.634998,46.644001,1042800
2019-01-01,47.419998,49.529999,47.270000,49.403999,48.577671,1096200
2019-02-01,49.290001,50.130001,49.279999,49.869999,49.245983,540600
2019-03-01,49.959000,50.470001,49.562000,50.379002,49.959896,612300
2019-04-01,50.480000,50.910000,50.360001,50.660000,50.452694,751000
2019-05-01,50.610001,50.770000,50.150002,50.290001,50.290001,429700
2019-05-16,50.310001,50.410000,50.189999,50.290001,50.290001,185902
