Date,Open,High,Low,Close,Adj Close,Volume
2016-05-01,null,null,null,null,null,null
2016-06-01,24.690001,24.990000,24.410000,24.870001,21.830183,748600
2016-07-01,24.820000,25.480000,24.820000,25.230000,22.264061,669100
2016-08-01,25.190001,25.480000,25.049999,25.260000,22.379351,762500
2016-09-01,25.280001,25.440001,25.049999,25.340000,22.536837,605100
2016-10-01,25.219999,25.500000,25.120001,25.150000,22.456011,593600
2016-11-01,25.160000,25.340000,24.719999,24.920000,22.332499,729900
2016-12-01,24.969999,25.240000,24.799999,25.160000,22.628586,653300
2017-01-01,25.080000,25.379999,25.000000,25.209999,22.757900,665200
2017-02-01,25.180000,25.370001,25.120001,25.299999,22.925272,748200
2017-03-01,25.240000,25.370001,24.809999,25.240000,22.948792,2547200
2017-04-01,25.209999,25.450001,24.900000,25.330000,23.127300,883200
2017-05-01,25.299999,25.469999,25.129999,25.420000,23.289335,623800
2017-06-01,25.360001,25.500000,25.170000,25.330000,23.302515,681100
2017-07-01,25.290001,25.490000,25.209999,25.450001,23.495075,745700
2017-08-01,25.410000,25.500000,25.240000,25.360001,23.495235,665400
2017-09-01,25.400000,25.580000,25.290001,25.440001,23.651453,714000
2017-10-01,25.430000,25.760000,25.250000,25.350000,23.655638,879200
2017-11-01,25.370001,25.459999,25.010000,25.230000,23.632767,760900
2017-12-01,25.180000,25.389999,24.990000,25.150000,23.639513,935200
2018-01-01,25.200001,25.350000,24.950001,24.980000,23.572144,2089800
2018-02-01,25.110001,25.110001,24.389999,24.760000,23.442654,1199700
2018-03-01,24.750000,24.799999,24.340000,24.590000,23.357534,6977100
2018-04-01,24.459999,24.750000,24.360001,24.510000,23.401066,687400
2018-05-01,24.510000,24.670000,24.330000,24.430000,23.406376,626500
2018-06-01,24.430000,24.620001,24.320000,24.320000,23.382040,518700
2018-07-01,24.330000,24.530001,24.230000,24.469999,23.598522,1291600
2018-08-01,24.490000,24.750000,24.320000,24.590000,23.803675,558000
2018-09-01,24.570000,24.700001,24.480000,24.610001,23.910475,619800
2018-10-01,24.610001,24.650000,24.160000,24.250000,23.644159,4656300
2018-11-01,24.190001,24.400000,24.100000,24.270000,23.773714,2086900
2018-12-01,24.240000,24.350000,23.820000,24.030001,23.597980,1176000
2019-01-01,23.959999,24.549999,23.959999,24.440001,24.112856,1016500
2019-02-01,24.450001,24.709999,24.410000,24.480000,24.230738,545500
2019-03-01,24.490000,24.840000,24.459999,24.610001,24.446083,1252000
2019-04-01,24.700001,24.830000,24.590000,24.670000,24.592409,657200
2019-05-01,24.740000,25.750000,24.610001,24.740000,24.740000,259300
2019-05-16,24.720100,24.779900,24.720100,24.740000,24.740000,20311
