Date,Open,High,Low,Close,Adj Close,Volume
2016-06-20,25.350000,25.660000,25.170000,25.209999,21.063210,17600
2016-06-27,24.940001,25.899000,24.790001,25.899000,21.638874,3500
2016-07-04,25.750000,26.090000,25.707001,26.090000,21.798458,2200
2016-07-11,26.129999,26.320000,26.066000,26.167999,21.863625,9100
2016-07-18,26.167999,26.459999,26.167999,26.379999,22.040751,4800
2016-07-25,26.379999,26.379999,26.170000,26.233999,21.918772,16300
2016-08-01,26.030001,26.375999,25.799999,26.309999,21.982271,4200
2016-08-08,26.299999,26.620001,26.299999,26.610001,22.395985,38800
2016-08-15,26.549999,26.790001,26.549999,26.790001,22.547478,7600
2016-08-22,26.700001,26.910000,26.700001,26.788000,22.545790,9600
2016-08-29,26.780001,26.920000,26.481001,26.715000,22.484354,14100
2016-09-05,26.770000,26.790001,26.250000,26.330000,22.303524,4100
2016-09-12,26.379999,26.549999,26.090000,26.500000,22.447529,4000
2016-09-19,26.500000,26.850000,26.500000,26.681000,22.600849,17500
2016-09-26,26.590000,26.875000,26.549999,26.875000,22.765181,5800
2016-10-03,26.629999,26.840000,26.629999,26.840000,22.735533,6500
2016-10-10,26.840000,26.930000,26.670000,26.889999,22.910021,5100
2016-10-17,26.799999,27.150000,26.760000,27.077000,23.069344,5000
2016-10-24,27.160000,27.160000,26.969999,26.969999,22.978182,3700
2016-10-31,26.834999,26.889999,26.389999,26.389999,22.484028,15000
2016-11-07,26.729000,26.851999,25.900000,25.900000,22.182383,4700
2016-11-14,25.910000,26.360001,25.910000,26.360001,22.576357,700
2016-11-21,26.400000,26.520000,26.400000,26.480000,22.679131,1800
2016-11-28,26.580000,26.580000,26.290001,26.290001,22.516405,3200
2016-12-05,26.480000,26.820000,26.480000,26.719999,23.069832,1700
2016-12-12,26.719999,26.820000,26.559999,26.730000,23.078466,3700
2016-12-19,26.730000,26.870001,26.680000,26.870001,23.199341,4600
2016-12-26,26.870001,26.870001,26.750000,26.760000,23.171242,3600
