Date,Open,High,Low,Close,Adj Close,Volume
2016-06-13,25.290001,25.290001,24.900000,24.900000,24.587795,15000
2016-06-20,24.520000,24.709999,24.280001,24.690001,24.380428,6300
2016-06-27,24.920000,25.240000,23.875999,23.875999,23.576630,3700
2016-07-04,24.066999,24.180000,24.066999,24.110001,23.807697,8200
2016-07-11,24.110001,24.110001,22.940001,22.950001,22.662243,1000
2016-07-18,22.950001,22.950001,22.950001,22.950001,22.662243,0
2016-07-25,22.950001,23.240000,22.950001,23.129999,22.839985,1600
2016-08-01,23.209999,23.309999,22.770000,22.770000,22.484499,1700
2016-08-08,22.719999,22.740000,22.367001,22.368999,22.088528,10500
2016-08-15,22.368999,22.368999,22.180000,22.180000,21.901899,1800
2016-08-22,22.320000,22.320000,22.049999,22.257999,21.978918,4700
2016-08-29,22.200001,22.222000,22.000000,22.222000,21.943371,9400
2016-09-05,21.841999,22.330000,21.820000,22.330000,22.050016,4700
2016-09-12,23.580000,23.580000,22.219999,22.396999,22.116179,27300
2016-09-19,22.389999,22.389999,21.809999,21.860001,21.585913,5200
2016-09-26,22.070000,22.224001,21.709999,21.756001,21.483215,13600
2016-10-03,21.760000,21.760000,21.580000,21.580000,21.309420,8900
2016-10-10,21.500000,21.840000,21.370001,21.639999,21.368670,12300
2016-10-17,21.638000,21.670000,21.379999,21.389999,21.121803,10500
2016-10-24,21.370001,21.940001,21.370001,21.879999,21.605656,11600
2016-10-31,21.879999,22.459999,21.879999,22.312000,22.032244,13900
2016-11-07,21.889999,23.030001,21.889999,22.980000,22.691868,4500
2016-11-14,22.860001,23.150000,22.410000,22.490000,22.208012,19300
2016-11-21,22.490000,22.490000,21.860001,21.980000,21.704405,3400
2016-11-28,21.930000,22.062000,21.856001,21.889999,21.615534,7800
2016-12-05,21.889999,21.889999,21.290001,21.299999,21.032930,2500
2016-12-12,21.299999,21.510000,21.150000,21.500000,21.230423,4000
2016-12-19,21.500000,21.500000,21.110001,21.110001,20.845314,2600
2016-12-26,21.120001,21.150000,21.030001,21.129999,20.865063,10900
2017-01-02,20.969999,20.969999,20.629999,20.760000,20.499702,12000
2017-01-09,20.780001,20.782000,20.690001,20.730000,20.470078,2700
2017-01-16,20.760000,20.760000,20.760000,20.760000,20.499702,200
2017-01-23,20.760000,20.790001,20.538000,20.538000,20.280485,1700
2017-01-30,20.570000,20.580000,20.410000,20.440001,20.183716,13600
2017-02-06,20.420000,20.520000,20.420000,20.420000,20.163967,1200
2017-02-13,20.340000,20.400000,20.299999,20.400000,20.144215,10800
2017-02-20,20.250000,20.250000,20.120001,20.160000,19.907227,6800
2017-02-27,20.080000,20.087999,17.559999,20.000000,19.749233,3900
2017-03-06,20.125000,20.903999,20.125000,20.862000,20.600424,11800
2017-03-13,20.879999,20.959999,20.320000,20.459999,20.203463,13400
2017-03-20,20.500000,20.958000,20.469999,20.700001,20.440456,3300
2017-03-27,20.700001,20.700001,20.110001,20.110001,19.857853,7400
2017-04-03,20.150000,20.150000,20.030001,20.070000,19.818352,22700
2017-04-10,20.059999,20.129999,20.059999,20.090000,19.838102,2500
2017-04-17,20.290001,20.290001,19.990000,20.040001,19.788731,8300
2017-04-24,19.841999,19.870001,19.759001,19.759001,19.511253,1200
2017-05-01,19.840000,19.879999,19.680000,19.840000,19.591240,5600
