Date,Open,High,Low,Close,Adj Close,Volume
2016-05-16,33.040001,33.369999,32.910000,33.130001,26.658484,217700
2016-05-23,33.169998,33.480000,33.020000,33.360001,26.843557,177600
2016-05-30,33.450001,33.720001,33.340000,33.610001,27.158184,197600
2016-06-06,33.700001,34.000000,33.380001,33.650002,27.190496,216000
2016-06-13,33.660000,33.869999,33.220001,33.500000,27.069294,124400
2016-06-20,33.639999,34.000000,32.709999,33.400002,26.988489,129900
2016-06-27,33.080002,33.990002,32.990002,33.919998,27.525822,203800
2016-07-04,33.880001,34.200001,33.669998,34.189999,27.744936,161100
2016-07-11,34.209999,34.540001,34.029999,34.439999,27.947803,125600
2016-07-18,34.299999,34.849998,34.299999,34.830002,28.264282,139300
2016-07-25,34.549999,34.830002,34.369999,34.459999,27.964029,198700
2016-08-01,34.540001,34.560001,34.200001,34.430000,28.114677,167400
2016-08-08,34.430000,34.720001,34.380001,34.520000,28.188154,107700
2016-08-15,34.520000,35.070000,34.520000,35.020000,28.596455,192900
2016-08-22,35.090000,35.240002,34.869999,34.889999,28.490295,93500
2016-08-29,35.000000,35.200001,34.889999,35.110001,28.844341,119000
2016-09-05,35.130001,35.279999,34.869999,34.869999,28.647160,93800
2016-09-12,34.759998,35.060001,34.529999,34.680000,28.491072,202700
2016-09-19,34.669998,35.299999,34.669998,35.200001,28.918266,226900
2016-09-26,35.049999,35.189999,34.830002,34.919998,28.688244,142300
2016-10-03,35.020000,35.169998,34.889999,35.049999,28.974522,230700
2016-10-10,34.980000,35.099998,34.779999,34.970001,28.908392,125800
2016-10-17,35.110001,35.310001,34.950001,35.220001,29.115061,116900
2016-10-24,35.299999,35.450001,34.810001,34.810001,28.776127,116800
2016-10-31,34.980000,34.980000,34.009998,34.209999,28.449375,268300
2016-11-07,34.360001,34.560001,33.450001,33.730000,28.050203,176200
2016-11-14,33.790001,34.740002,33.689999,34.630001,28.798655,274600
2016-11-21,34.660000,35.150002,34.599998,34.860001,28.989923,99200
2016-11-28,34.759998,35.060001,34.580002,34.900002,29.204456,108100
2016-12-05,34.990002,35.310001,34.919998,35.169998,29.430389,106100
2016-12-12,35.139999,35.590000,35.130001,35.419998,29.639587,112300
2016-12-19,35.380001,35.959999,35.320000,35.529999,29.731644,157600
2016-12-26,35.470001,35.650002,35.470001,35.650002,30.044559,107000
2017-01-02,35.779999,36.049999,35.529999,36.040001,30.373241,98600
2017-01-09,36.070000,36.150002,35.980000,36.099998,30.423807,102200
2017-01-16,36.099998,36.290001,36.099998,36.160000,30.474373,72800
2017-01-23,36.139999,36.209999,36.029999,36.060001,30.390091,110300
2017-01-30,36.180000,36.520000,36.049999,36.400002,30.833870,193400
2017-02-06,36.459999,36.560001,36.349998,36.380001,30.816925,89600
2017-02-13,36.470001,36.630001,36.330002,36.599998,31.003277,187900
2017-02-20,36.660000,36.660000,36.080002,36.389999,30.825384,156700
2017-02-27,36.450001,36.630001,36.330002,36.430000,31.035950,183500
2017-03-06,36.430000,36.490002,35.099998,35.630001,30.354416,440700
2017-03-13,35.419998,35.970001,35.259998,35.520000,30.260712,212300
2017-03-20,35.549999,35.750000,35.060001,35.200001,29.988085,168100
2017-03-27,35.099998,35.610001,35.040001,35.590000,30.506710,260400
2017-04-03,35.430000,35.849998,35.389999,35.759998,30.652428,104700
2017-04-10,35.869999,35.939999,35.570000,35.639999,30.549572,99100
2017-04-17,35.619999,36.000000,35.619999,35.830002,30.712427,66000
2017-04-24,35.779999,35.959999,35.639999,35.910000,30.781000,84500
2017-05-01,35.869999,36.029999,35.650002,35.930000,30.983196,110400
2017-05-08,35.770000,35.840000,35.549999,35.650002,30.741751,160800
2017-05-15,35.799999,35.959999,35.540001,35.950001,31.000446,104400
2017-05-22,35.980000,36.200001,35.669998,36.150002,31.172911,60400
2017-05-29,36.150002,36.490002,35.910000,36.490002,31.647219,88100
2017-06-05,36.279999,36.400002,36.139999,36.299999,31.482428,90900
2017-06-12,36.290001,36.439999,36.230000,36.259998,31.447739,43800
2017-06-19,36.320000,36.490002,36.000000,36.290001,31.473761,131300
2017-06-26,36.090000,36.220001,35.799999,35.919998,31.152859,123600
2017-07-03,35.980000,36.160000,35.759998,35.950001,31.356009,52400
2017-07-10,36.000000,36.180000,35.910000,36.169998,31.547905,83200
2017-07-17,36.209999,36.389999,36.000000,36.099998,31.486843,175100
2017-07-24,36.160000,36.369999,35.959999,36.000000,31.399620,47900
2017-07-31,36.130001,36.200001,36.020000,36.110001,31.683111,130000
2017-08-07,36.150002,36.240002,35.650002,35.830002,31.437445,171600
2017-08-14,35.980000,36.099998,35.730000,35.820000,31.428677,85800
2017-08-21,35.820000,36.080002,35.770000,35.869999,31.472540,42000
2017-08-28,35.799999,35.970001,35.689999,35.830002,31.621653,45600
2017-09-04,35.849998,36.029999,35.709999,35.750000,31.551043,165000
2017-09-11,35.919998,36.099998,35.830002,36.020000,31.789335,92400
2017-09-18,36.160000,36.180000,35.889999,36.099998,31.859938,71200
2017-09-25,36.130001,36.310001,35.750000,36.029999,31.798153,105400
2017-10-02,35.950001,36.099998,35.849998,36.049999,32.022667,50200
2017-10-09,36.000000,36.349998,35.970001,36.150002,32.111492,65100
2017-10-16,36.189999,36.380001,36.090000,36.380001,32.315796,52800
2017-10-23,36.270000,36.389999,36.000000,36.180000,32.138138,78300
2017-10-30,36.099998,36.360001,36.080002,36.290001,32.431244,70600
2017-11-06,36.310001,36.360001,35.900002,36.119999,32.279320,100000
2017-11-13,35.970001,36.180000,35.779999,36.040001,32.207832,95500
2017-11-20,36.099998,36.360001,35.930000,36.349998,32.484859,42300
2017-11-27,36.389999,36.389999,36.009998,36.240002,32.386562,93500
2017-12-04,36.380001,36.389999,36.049999,36.369999,32.708744,91700
2017-12-11,36.320000,36.389999,36.130001,36.180000,32.537868,87900
