Date,Open,High,Low,Close,Adj Close,Volume
2016-05-16,19.250000,19.250000,19.240000,19.240000,16.508526,3200
2016-05-23,19.299999,19.490000,19.170000,19.340000,16.594328,10700
2016-05-30,19.400000,19.400000,19.250000,19.280001,16.607578,12500
2016-06-06,19.299999,19.340000,19.180000,19.219999,16.555897,12300
2016-06-13,19.219999,19.219999,18.860001,18.950001,16.323332,3700
2016-06-20,18.850000,19.389999,18.850000,19.389999,16.702343,17900
2016-06-27,19.389999,19.389999,18.680000,18.690001,16.171904,5700
2016-07-04,19.020000,19.020000,18.580000,18.700001,16.180552,1600
2016-07-11,18.700001,19.250000,18.700001,19.240000,16.647802,7300
2016-07-18,19.240000,19.309999,19.240000,19.260000,16.665112,1000
2016-07-25,19.260000,19.379999,19.070000,19.340000,16.734331,4800
2016-08-01,19.340000,19.389999,18.860001,19.389999,16.851965,16300
2016-08-08,19.389999,19.389999,19.389999,19.389999,16.851965,1600
2016-08-15,19.270000,19.379999,19.160000,19.280001,16.756357,6400
2016-08-22,19.280001,19.480000,19.110001,19.480000,16.930183,3100
2016-08-29,19.480000,19.480000,19.230000,19.250000,16.800001,2700
2016-09-05,19.250000,19.480000,19.250000,19.480000,17.000727,1200
2016-09-12,19.959999,20.010000,19.459999,19.469999,16.991999,3500
2016-09-19,19.469999,19.650000,19.450001,19.600000,17.105452,3700
2016-09-26,19.440001,19.500000,19.420000,19.500000,17.018185,4300
2016-10-03,19.500000,19.799999,19.500000,19.629999,17.201847,3700
2016-10-10,19.629999,19.790001,19.629999,19.790001,17.342060,100
2016-10-17,19.740000,19.850000,19.680000,19.760000,17.315771,4100
2016-10-24,19.860001,20.100000,19.790001,19.809999,17.359577,4900
2016-10-31,19.809999,19.809999,19.670000,19.719999,17.355368,700
2016-11-07,19.760000,20.209999,19.760000,19.980000,17.584188,17700
2016-11-14,19.980000,20.520000,19.980000,20.480000,18.024237,4800
2016-11-21,20.480000,20.760000,20.320000,20.760000,18.270666,2200
2016-11-28,20.790001,20.799999,20.370001,20.790001,18.382334,54400
2016-12-05,20.870001,21.030001,20.760000,21.010000,18.576857,13300
2016-12-12,21.190001,21.400000,20.920000,21.350000,18.877487,91600
2016-12-19,21.340000,23.280001,21.000000,21.480000,18.992428,75600
