Date,Open,High,Low,Close,Adj Close,Volume
2016-06-13,49.750000,49.750000,49.750000,49.750000,42.088345,100
2016-06-20,49.750000,49.910000,49.660000,49.910000,42.223701,600
2016-06-27,49.525002,50.779999,49.525002,50.689999,42.883579,1100
2016-07-04,50.689999,50.689999,50.689999,50.689999,42.883579,0
2016-07-11,50.689999,51.770000,50.689999,51.470001,43.543457,3700
2016-07-18,51.470001,51.580002,51.470001,51.529999,43.594208,600
2016-07-25,51.529999,51.529999,51.470001,51.470001,43.543457,2500
2016-08-01,51.330002,51.330002,50.930000,50.930000,43.086632,200
2016-08-08,50.930000,50.930000,50.930000,50.930000,43.373989,0
2016-08-15,50.930000,50.930000,50.930000,50.930000,43.373989,0
2016-08-22,50.930000,51.990002,50.930000,51.990002,44.276722,300
2016-08-29,52.139999,52.139999,51.919998,51.919998,44.217110,1300
2016-09-05,51.919998,51.919998,51.549999,51.549999,44.164845,300
2016-09-12,51.549999,51.549999,51.549999,51.549999,44.164845,0
2016-09-19,51.290001,51.849998,51.290001,51.849998,44.421867,4300
2016-09-26,51.849998,51.849998,51.450001,51.570000,44.181980,1400
2016-10-03,51.570000,51.570000,51.570000,51.570000,44.181980,0
2016-10-10,51.570000,51.570000,51.518002,51.518002,44.377522,200
2016-10-17,51.518002,51.730000,51.518002,51.680000,44.517078,1000
2016-10-24,51.680000,51.919998,51.680000,51.919998,44.723793,200
2016-10-31,51.919998,51.919998,50.540001,50.540001,43.535069,300
2016-11-07,50.540001,50.540001,50.320000,50.334000,43.569931,600
2016-11-14,50.334000,50.334000,50.334000,50.334000,43.569931,0
2016-11-21,50.430000,50.820000,50.430000,50.790001,43.964653,7700
2016-11-28,50.790001,50.790001,50.605999,50.630001,43.826168,500
2016-12-05,50.630001,50.769001,50.630001,50.769001,44.165424,100
2016-12-12,50.769001,50.769001,50.769001,50.769001,44.165424,0
2016-12-19,50.769001,50.769001,50.769001,50.769001,44.165424,0
2016-12-26,50.769001,50.769001,50.769001,50.769001,44.308556,0
2017-01-02,50.769001,51.500000,50.769001,51.500000,44.946541,600
2017-01-09,51.500000,51.500000,51.500000,51.500000,44.946541,0
2017-01-16,51.630001,51.680000,51.630001,51.680000,45.103642,400
2017-01-23,51.680000,51.680000,51.680000,51.680000,45.103642,0
2017-01-30,51.716999,51.723999,51.716999,51.723999,45.142040,400
2017-02-06,51.661999,51.730000,51.661999,51.730000,45.368313,200
2017-02-13,51.730000,51.849998,51.730000,51.849998,45.473553,400
2017-02-20,51.849998,52.240002,51.849998,52.240002,45.815586,800
2017-02-27,52.240002,52.279999,52.049999,52.064999,45.662106,1200
2017-03-06,52.064999,52.064999,51.289001,51.289001,45.200287,400
2017-03-13,51.289001,51.289001,51.289001,51.289001,45.200287,0
2017-03-20,51.289001,51.325001,51.289001,51.321999,45.229359,2500
2017-03-27,51.321999,51.321999,51.321999,51.321999,45.229359,0
2017-04-03,51.321999,51.810001,51.321999,51.810001,45.659431,1900
2017-04-10,51.810001,51.810001,51.750000,51.750000,45.829796,300
2017-04-17,51.750000,51.750000,51.750000,51.750000,45.829796,0
2017-04-24,52.139999,52.259998,52.139999,52.259998,46.281456,5600
2017-05-01,52.060001,52.098000,51.900002,51.900002,45.962635,1900
2017-05-08,51.900002,52.060001,51.900002,52.060001,46.326839,700
2017-05-15,52.060001,52.060001,51.970001,51.970001,46.246754,4000
2017-05-22,52.070000,52.083000,52.070000,52.083000,46.347305,200
2017-05-29,52.083000,52.283001,52.083000,52.119999,46.380230,700
2017-06-05,52.119999,52.119999,52.119999,52.119999,46.602177,0
2017-06-12,52.119999,52.119999,52.119999,52.119999,46.602177,0
2017-06-19,52.340000,55.470001,52.029999,52.099998,46.584301,6100
2017-06-26,52.279999,52.279999,52.268002,52.268002,46.734505,1900
2017-07-03,52.119999,52.119999,52.099998,52.099998,46.584301,400
2017-07-10,52.099998,52.099998,52.099998,52.099998,46.808170,0
2017-07-17,52.099998,52.480000,52.099998,52.480000,47.149582,600
2017-07-24,52.480000,52.500000,52.480000,52.500000,47.167549,900
2017-07-31,52.500000,52.500000,52.169998,52.189999,46.889027,1000
2017-08-07,52.189999,52.200001,51.680000,51.686001,46.655743,4300
2017-08-14,51.858002,51.858002,51.750000,51.750000,46.713505,1500
2017-08-21,51.770000,52.000000,51.770000,52.000000,46.939171,1300
2017-08-28,52.049999,52.099998,52.040001,52.060001,46.993332,2200
2017-09-04,52.000000,52.000000,51.939999,51.939999,47.110165,300
2017-09-11,51.970001,51.988998,51.910999,51.910999,47.083862,600
2017-09-18,51.910999,51.910999,51.910999,51.910999,47.083862,0
2017-09-25,51.910999,51.910999,51.910999,51.910999,47.083862,0
2017-10-02,51.950001,51.950001,51.950001,51.950001,47.119232,100
2017-10-09,51.950001,51.950001,51.939999,51.945000,47.341785,200
2017-10-16,51.945000,51.945000,51.945000,51.945000,47.341785,0
2017-10-23,51.945000,51.945000,51.945000,51.945000,47.341785,0
2017-10-30,51.945000,51.945000,51.650002,51.650002,47.072929,7000
2017-11-06,51.650002,51.650002,51.009998,51.020000,46.720917,600
2017-11-13,51.020000,51.020000,50.895000,50.895000,46.606457,200
2017-11-20,50.895000,51.480000,50.895000,51.480000,47.142151,500
2017-11-27,51.480000,51.490002,51.240002,51.240002,46.922375,1200
2017-12-04,51.200001,51.200001,51.160000,51.160000,47.074932,1600
