Date,Open,High,Low,Close,Adj Close,Volume
2016-05-16,22.490000,22.540001,22.299999,22.440001,19.170069,66400
2016-05-23,22.240000,22.590000,22.219999,22.590000,19.298208,12800
2016-05-30,22.590000,22.690001,22.549999,22.549999,19.345945,3600
2016-06-06,22.610001,22.780001,22.549999,22.719999,19.491781,14700
2016-06-13,22.670000,22.680000,22.480000,22.660000,19.440310,23400
2016-06-20,22.559999,22.809999,22.309999,22.309999,19.140043,16700
2016-06-27,22.379999,22.690001,22.170000,22.610001,19.483393,19400
2016-07-04,22.740000,22.910000,22.580000,22.910000,19.741911,5700
2016-07-11,22.799999,23.080000,22.770000,23.040001,19.853939,9700
2016-07-18,23.040001,23.190001,22.910000,23.049999,19.862551,4600
2016-07-25,23.110001,23.110001,22.830000,22.930000,19.759138,3000
2016-08-01,22.840000,23.040001,22.770000,23.010000,19.914474,9700
2016-08-08,22.980000,23.320000,22.980000,23.320000,20.182777,3800
2016-08-15,23.090000,23.190001,23.090000,23.190001,20.070261,5200
2016-08-22,23.190001,23.330000,23.120001,23.330000,20.191433,10700
2016-08-29,23.320000,23.520000,23.280001,23.480000,20.409256,6200
2016-09-05,23.370001,23.430000,23.219999,23.430000,20.365797,4700
2016-09-12,23.430000,23.430000,23.139999,23.200001,20.165874,7300
2016-09-19,23.360001,23.440001,23.200001,23.250000,20.209335,3500
2016-09-26,23.330000,23.620001,23.170000,23.620001,20.530949,4900
2016-10-03,23.280001,23.740000,23.280001,23.430000,20.458191,7200
2016-10-10,23.430000,23.830000,23.430000,23.610001,20.615360,9700
2016-10-17,23.520000,23.940001,23.520000,23.680000,20.676485,5900
2016-10-24,23.680000,23.920000,23.440001,23.520000,20.536774,7100
2016-10-31,23.430000,23.660000,23.190001,23.190001,20.343130,3400
2016-11-07,23.190001,23.330000,23.059999,23.090000,20.255409,2000
2016-11-14,22.990000,23.430000,22.990000,23.350000,20.483488,11400
2016-11-21,23.000000,23.500000,23.000000,23.340000,20.474710,3600
2016-11-28,23.330000,23.709999,23.330000,23.549999,20.765654,46000
2016-12-05,23.930000,24.000000,23.330000,23.920000,21.091909,133400
2016-12-12,23.959999,24.120001,23.740000,24.120001,21.268267,154500
2016-12-19,24.250000,26.100000,23.830000,23.980000,21.144814,136300
2016-12-26,24.150000,24.150000,23.700001,23.879999,21.161747,70600
2017-01-02,23.879999,24.280001,23.840000,24.150000,21.401011,90200
2017-01-09,24.250000,24.980000,23.799999,24.010000,21.276949,360300
2017-01-16,23.860001,24.120001,23.799999,24.000000,21.268087,45200
2017-01-23,23.980000,24.000000,23.809999,23.940001,21.214918,80300
2017-01-30,24.040001,24.040001,23.900000,23.990000,21.357111,582900
2017-02-06,23.900000,24.190001,23.900000,23.920000,21.294796,186400
2017-02-13,24.040001,24.190001,23.870001,23.910000,21.285896,170100
2017-02-20,23.930000,24.049999,23.930000,23.930000,21.401743,152700
2017-02-27,23.950001,24.219999,23.920000,24.090000,21.544847,169700
2017-03-06,24.250000,24.250000,23.950001,23.990000,21.455406,134600
2017-03-13,24.110001,24.200001,23.850000,24.020000,21.482239,212800
2017-03-20,23.959999,24.049999,23.850000,23.889999,21.365974,142000
2017-03-27,23.700001,23.950001,23.690001,23.950001,21.419632,91600
2017-04-03,24.000000,24.080000,23.809999,23.980000,21.536610,73800
2017-04-10,23.980000,24.080000,23.799999,23.950001,21.509676,159000
2017-04-17,23.969999,24.080000,23.830000,23.950001,21.509676,108400
2017-04-24,24.000000,24.000000,23.850000,23.900000,21.464764,105500
2017-05-01,24.000000,24.090000,23.860001,24.010000,21.653976,133400
2017-05-08,24.020000,24.200001,24.000000,24.070000,21.708084,155600
2017-05-15,24.139999,24.219999,23.990000,24.129999,21.762194,74300
2017-05-22,24.110001,24.160000,24.000000,24.040001,21.681028,58900
2017-05-29,24.010000,24.170000,23.950001,24.100000,21.821049,42500
2017-06-05,24.180000,24.250000,24.070000,24.110001,21.830101,61700
2017-06-12,24.090000,24.299999,24.000000,24.170000,21.884434,67700
2017-06-19,24.330000,24.330000,24.040001,24.129999,21.848213,83200
2017-06-26,24.020000,24.150000,23.940001,24.040001,21.766724,123700
2017-07-03,24.030001,24.250000,24.010000,24.049999,21.861847,70700
2017-07-10,24.040001,24.250000,24.030001,24.120001,21.925476,64700
2017-07-17,24.040001,24.250000,24.040001,24.219999,22.016380,89700
2017-07-24,24.100000,24.270000,24.080000,24.129999,21.934568,90500
2017-07-31,24.160000,24.280001,24.110001,24.170000,22.055622,80800
2017-08-07,24.330000,24.330000,22.990000,23.990000,21.891363,578100
2017-08-14,23.980000,24.200001,23.959999,24.000000,21.900488,67300
2017-08-21,24.000000,24.000000,23.809999,23.920000,21.827490,147800
2017-08-28,23.910000,23.969999,23.760000,23.930000,21.918812,49400
2017-09-04,23.900000,24.000000,23.870001,23.980000,21.964609,45400
2017-09-11,23.910000,24.100000,23.910000,24.100000,22.074522,55600
2017-09-18,24.110001,24.250000,24.010000,24.139999,22.111160,97600
2017-09-25,24.160000,24.180000,23.959999,24.129999,22.102003,108500
2017-10-02,24.080000,24.270000,24.049999,24.170000,22.235600,114400
2017-10-09,24.100000,24.360001,24.100000,24.180000,22.244795,121600
2017-10-16,24.180000,24.400000,24.160000,24.290001,22.345995,87800
2017-10-23,24.250000,24.410000,24.070000,24.180000,22.244795,142800
