Date,Open,High,Low,Close,Adj Close,Volume
2016-05-16,24.889999,24.950001,24.570000,24.643999,22.698000,304800
2016-05-23,24.650000,24.809999,24.620001,24.760000,22.828962,292100
2016-05-30,24.740000,25.020000,24.740000,24.980000,23.031807,277000
2016-06-06,24.930000,25.093000,24.930000,25.070000,23.114792,214500
2016-06-13,25.030001,25.120001,24.860001,25.032000,23.079748,208900
2016-06-20,25.042999,25.110001,21.360001,24.990000,23.041025,225200
2016-06-27,24.969999,25.445999,24.860001,25.445999,23.461466,162900
2016-07-04,25.405001,25.600000,25.370001,25.540001,23.575031,165400
2016-07-11,25.440001,25.580000,25.299999,25.305000,23.358122,203600
2016-07-18,25.340000,25.430000,25.270000,25.392000,23.438425,216700
2016-07-25,25.379999,25.493999,25.312000,25.462000,23.535873,406800
2016-08-01,25.414000,25.469999,25.250000,25.299999,23.386120,493700
2016-08-08,25.291000,25.459999,25.290001,25.420000,23.497047,227400
2016-08-15,25.420000,25.420000,25.219999,25.299999,23.386120,380600
2016-08-22,25.309999,25.400000,25.250000,25.260000,23.382847,343000
2016-08-29,25.299999,25.370001,25.290001,25.370001,23.484676,298400
2016-09-05,25.360001,25.420000,25.110001,25.110001,23.243994,264500
2016-09-12,24.990000,25.180000,24.920000,24.990000,23.132917,289900
2016-09-19,25.059999,25.219999,25.020000,25.180000,23.335487,316200
2016-09-26,25.170000,25.230000,25.129999,25.209999,23.363291,383900
2016-10-03,25.120001,25.230000,24.950001,25.010000,23.177942,376800
2016-10-10,25.000000,25.020000,24.790001,24.830000,23.011126,249800
2016-10-17,24.860001,25.042999,24.840000,25.040001,23.205748,285800
2016-10-24,25.090000,25.110001,24.830000,24.830000,23.037668,326100
2016-10-31,24.920000,24.930000,24.820000,24.889999,23.093340,370800
2016-11-07,24.790001,24.980000,24.730000,24.855000,23.060869,278900
2016-11-14,24.910000,24.950001,24.840000,24.840000,23.046940,257000
2016-11-21,24.830000,24.870001,24.809999,24.850000,23.081182,352800
2016-11-28,24.834999,24.889999,24.820000,24.860001,23.090467,377700
2016-12-05,24.900000,25.070000,24.799999,24.959999,23.183346,288500
2016-12-12,24.940001,25.007999,24.799999,24.799999,23.034731,290500
2016-12-19,24.830000,24.900000,24.790001,24.870001,23.099754,861400
2016-12-26,24.864000,24.886999,24.700001,24.799000,23.033813,767800
2017-01-02,24.770000,24.930000,24.760000,24.879999,23.166943,98400
2017-01-09,24.900000,24.920000,24.799999,24.879999,23.166943,134300
2017-01-16,24.799999,24.950001,24.784000,24.850000,23.139011,125700
2017-01-23,24.882000,24.985001,24.875000,24.893999,23.179977,113000
2017-01-30,24.860001,24.980000,24.850000,24.910000,23.194872,190100
